cell_type,biological_question,contrast,gene_label,gene_id,regulation,log2FoldChange,abs_log2FoldChange,padj,biotype,chromosome,description
AEC,Infection response,WSN vs mock,Mpeg1,ENSMUSG00000046805,Upregulated,4.143,4.143,5.34e-55,protein_coding,19,macrophage expressed gene 1
AEC,Infection response,WSN vs mock,Parp11,ENSMUSG00000037997,Upregulated,2.686,2.686,9.19e-55,protein_coding,6,"poly (ADP-ribose) polymerase family, member 11"
AEC,Infection response,WSN vs mock,Irf6,ENSMUSG00000026638,Downregulated,-3.055,3.055,5.28e-54,protein_coding,1,interferon regulatory factor 6
AEC,Infection response,WSN vs mock,Arhgef18,ENSMUSG00000004568,Downregulated,-2.115,2.115,6.60e-54,protein_coding,8,Rho/Rac guanine nucleotide exchange factor 18
AEC,Infection response,WSN vs mock,Cldn7,ENSMUSG00000018569,Downregulated,-2.657,2.657,6.50e-53,protein_coding,11,claudin 7
AEC,Infection response,WSN vs mock,Epb41l5,ENSMUSG00000026383,Downregulated,-2.095,2.095,7.62e-53,protein_coding,1,erythrocyte membrane protein band 4.1 like 5
AEC,Infection response,WSN vs mock,Ccdc9b,ENSMUSG00000045838,Downregulated,-2.233,2.233,2.59e-52,protein_coding,2,coiled-coil domain containing 9B
AEC,Infection response,WSN vs mock,Gbp5,ENSMUSG00000105504,Upregulated,8.069,8.069,3.69e-52,protein_coding,3,guanylate binding protein 5
AEC,Infection response,WSN vs mock,Patj,ENSMUSG00000061859,Downregulated,-2.169,2.169,1.65e-51,protein_coding,4,"PATJ, crumbs cell polarity complex component"
AEC,Infection response,WSN vs mock,Zbp1,ENSMUSG00000027514,Upregulated,8.019,8.019,2.49e-51,protein_coding,2,Z-DNA binding protein 1
AEC,Infection response,WSN vs mock,Uba7,ENSMUSG00000032596,Upregulated,3.453,3.453,3.21e-51,protein_coding,9,ubiquitin-like modifier activating enzyme 7
AEC,Infection response,WSN vs mock,Fam83h,ENSMUSG00000046761,Downregulated,-3.511,3.511,6.79e-51,protein_coding,15,"family with sequence similarity 83, member H"
